review_ID,customer_ID,product_id,description,rating
1,76,1,Exceeded expectations!,5
2,7,4,Average product and service.,3
3,89,50,Arrived quickly and as described!,5
4,38,45,"Will buy again, 5 stars!",5
5,8,81,Excellent product! Exactly as described.,5
6,46,51,Lightning fast shipping!,5
7,20,34,Happy with purchase overall.,4
8,28,87,Exceeded expectations!,5
9,63,12,Highly recommend this seller!,5
10,76,6,Decent quality and shipping.,4
11,30,33,Satisfied with this item.,4
12,51,90,Best purchase ever!,5
13,36,57,"Super fast delivery, excellent product!",5
14,52,96,Solid purchase.,4
15,33,14,Exceeded expectations!,5
16,19,69,Lightning fast shipping!,5
17,37,44,Absolutely love it!,5
18,10,16,Absolutely love it!,5
19,84,57,Satisfied with this item.,4
20,9,81,"Good product, minor issues.",4
21,32,65,Fantastic quality!,5
22,36,20,Best purchase ever!,5
23,62,92,"Super fast delivery, excellent product!",5
24,99,17,Average product and service.,3
25,39,5,Exceeded expectations!,5
26,85,74,"Will buy again, 5 stars!",5
27,36,85,Absolutely love it!,5
28,3,67,Absolutely love it!,5
29,76,74,Highly recommend this seller!,5
30,61,70,Satisfied with this item.,4
31,5,48,Solid purchase.,4
32,4,61,Outstanding purchase!,5
33,24,69,Fantastic quality!,5
34,66,50,Acceptable.,3
35,23,57,Absolutely love it!,5
36,75,63,Excellent product! Exactly as described.,5
37,19,16,Good but not perfect.,4
38,10,46,"Fast shipping, great quality!",5
39,35,79,Satisfied with this item.,4
40,49,83,Mediocre product.,2
41,39,95,Solid purchase.,4
42,47,34,"Quick delivery, good product.",4
43,83,4,"Good product, minor issues.",4
44,57,33,Outstanding purchase!,5
45,93,86,Best purchase ever!,5
46,37,98,Solid purchase.,4
47,93,50,"Fast shipping, great quality!",5
48,95,86,Lightning fast shipping!,5
49,35,47,Outstanding purchase!,5
50,83,4,Happy with purchase overall.,4
51,17,32,Lightning fast shipping!,5
52,84,41,Best purchase ever!,5
53,39,55,Best purchase ever!,5
54,35,37,Arrived quickly and as described!,5
55,5,48,Happy with purchase overall.,4
56,91,78,Satisfied with this item.,4
57,55,62,Lightning fast shipping!,5
58,98,32,Excellent product! Exactly as described.,5
59,26,82,Best purchase ever!,5
60,26,29,Good but not perfect.,4
61,8,55,"Fast shipping, great quality!",5
62,13,90,Absolutely love it!,5
63,34,9,Amazing product and super fast delivery!,5
64,21,55,Fair for the price.,3
65,78,94,Arrived quickly and as described!,5
66,50,48,Recommend with minor reservations.,4
67,72,93,Happy with purchase overall.,4
68,73,94,Outstanding purchase!,5
69,11,16,Excellent product! Exactly as described.,5
70,7,12,"Will buy again, 5 stars!",5
71,33,73,Good but not perfect.,4
72,71,29,Absolutely love it!,5
73,70,34,"Fast shipping, great quality!",5
74,70,92,Arrived quickly and as described!,5
75,3,26,Acceptable.,3
76,76,77,Absolutely love it!,5
77,85,29,Recommend with minor reservations.,4
78,94,15,Happy with purchase overall.,4
79,29,33,Decent quality and shipping.,4
80,61,84,Fair for the price.,3
81,55,96,Satisfied with this item.,4
82,46,51,Outstanding purchase!,5
83,92,56,Arrived quickly and as described!,5
84,88,66,Standard quality.,3
85,29,85,"Quick delivery, good product.",4
86,85,98,Fantastic quality!,5
87,79,44,Decent quality and shipping.,4
88,88,41,Satisfied with this item.,4
89,84,33,Decent quality and shipping.,4
90,98,28,Fantastic quality!,5
91,99,17,Absolutely love it!,5
92,36,30,Met basic expectations.,3
93,65,38,Decent quality and shipping.,4
94,20,47,"Quick delivery, good product.",4
95,50,75,Standard quality.,3
96,29,82,Best purchase ever!,5
97,6,29,Standard quality.,3
98,15,54,Solid purchase.,4
99,7,43,Acceptable.,3
100,12,29,Had problems.,2
101,28,100,"Good product, minor issues.",4
102,19,69,Shipping took too long.,2
103,99,76,Met basic expectations.,3
104,19,69,Lightning fast shipping!,5
105,64,46,Had problems.,2
106,18,65,"Will buy again, 5 stars!",5
107,14,4,Terrible product.,1
108,90,22,"Good product, minor issues.",4
109,44,31,"Perfect condition, very happy!",5
110,17,37,Excellent product! Exactly as described.,5
111,69,35,Decent quality and shipping.,4
112,94,27,Good but not perfect.,4
113,83,69,Best purchase ever!,5
114,63,61,"Super fast delivery, excellent product!",5
115,2,20,Fantastic quality!,5
116,99,17,It's okay.,3
117,52,61,Average product and service.,3
118,17,34,Happy with purchase overall.,4
119,90,48,Best purchase ever!,5
120,66,33,Solid purchase.,4
121,98,10,Lightning fast shipping!,5
122,59,63,Met basic expectations.,3
123,69,27,"Perfect condition, very happy!",5
124,4,70,Excellent product! Exactly as described.,5
125,79,78,Lightning fast shipping!,5
126,26,92,Decent quality and shipping.,4
127,15,54,"Good product, minor issues.",4
128,26,97,Lightning fast shipping!,5
129,93,60,Solid purchase.,4
130,68,33,Below expectations.,2
131,59,30,Absolutely love it!,5
132,28,97,Satisfied with this item.,4
133,85,29,Met basic expectations.,3
134,3,33,Happy with purchase overall.,4
135,32,66,Decent quality and shipping.,4
136,67,93,Fantastic quality!,5
137,92,8,Satisfied with this item.,4
138,26,47,Solid purchase.,4
139,6,34,Met basic expectations.,3
140,94,1,"Good product, minor issues.",4
141,70,70,"Perfect condition, very happy!",5
142,84,13,Met basic expectations.,3
143,21,67,Exceeded expectations!,5
144,61,52,Acceptable.,3
145,59,63,"Good product, minor issues.",4
146,58,5,Average product and service.,3
147,12,58,Satisfied with this item.,4
148,96,8,Excellent product! Exactly as described.,5
149,64,89,"Will buy again, 5 stars!",5
150,21,65,Arrived quickly and as described!,5
