product_id,Seller_id,Description,category,Product_price,Product_name
1,20,iPhone 15 Pro Max 256GB - High quality electronics,Smartphones,1099.99,iPhone 15 Pro Max 256GB
2,5,Samsung Galaxy S24 Ultra 512GB - High quality electronics,Smartphones,1199.99,Samsung Galaxy S24 Ultra 512GB
3,5,Google Pixel 8 Pro 128GB - High quality electronics,Smartphones,899.99,Google Pixel 8 Pro 128GB
4,15,OnePlus 12 256GB - High quality electronics,Smartphones,799.99,OnePlus 12 256GB
5,5,Apple AirPods Pro 2nd Gen - High quality electronics,Audio,249.99,Apple AirPods Pro 2nd Gen
6,5,Sony WH-1000XM5 Headphones - High quality electronics,Audio,399.99,Sony WH-1000XM5 Headphones
7,5,Bose QuietComfort Earbuds - High quality electronics,Audio,299.99,Bose QuietComfort Earbuds
8,11,JBL Flip 6 Bluetooth Speaker - High quality electronics,Audio,129.99,JBL Flip 6 Bluetooth Speaker
9,1,MacBook Air M3 15-inch - High quality electronics,Laptops,1699.99,MacBook Air M3 15-inch
10,1,Dell XPS 13 Laptop - High quality electronics,Laptops,1299.99,Dell XPS 13 Laptop
11,15,HP Pavilion Gaming Laptop - High quality electronics,Laptops,899.99,HP Pavilion Gaming Laptop
12,16,Lenovo ThinkPad X1 Carbon - High quality electronics,Laptops,1599.99,Lenovo ThinkPad X1 Carbon
13,5,iPad Air 5th Gen 64GB - High quality electronics,Tablets,549.99,iPad Air 5th Gen 64GB
14,5,Samsung Galaxy Tab S9 - High quality electronics,Tablets,799.99,Samsung Galaxy Tab S9
15,15,Amazon Fire HD 10 - High quality electronics,Tablets,149.99,Amazon Fire HD 10
16,16,Ring Video Doorbell Pro 2 - High quality electronics,Smart Home,249.99,Ring Video Doorbell Pro 2
17,9,Nest Learning Thermostat - High quality electronics,Smart Home,249.99,Nest Learning Thermostat
18,16,Philips Hue Starter Kit - High quality electronics,Smart Home,199.99,Philips Hue Starter Kit
19,15,"Samsung 65"" QLED 4K TV - High quality electronics",TV & Video,1799.99,"Samsung 65"" QLED 4K TV"
20,15,"LG 55"" OLED TV - High quality electronics",TV & Video,1299.99,"LG 55"" OLED TV"
21,1,"Sony 75"" 4K TV - High quality electronics",TV & Video,2199.99,"Sony 75"" 4K TV"
22,5,DJI Mini 3 Pro Drone - High quality electronics,Cameras,759.0,DJI Mini 3 Pro Drone
23,32,Canon EOS R6 Camera Body - High quality electronics,Cameras,2499.0,Canon EOS R6 Camera Body
24,5,GoPro Hero 12 Black - High quality electronics,Cameras,399.99,GoPro Hero 12 Black
25,23,Kindle Paperwhite 16GB - High quality electronics,Electronics,149.99,Kindle Paperwhite 16GB
26,5,Apple Watch Series 9 - High quality electronics,Wearables,429.99,Apple Watch Series 9
27,11,Fitbit Charge 6 - High quality electronics,Wearables,159.99,Fitbit Charge 6
28,24,PlayStation 5 Console - High quality electronics,Gaming,499.99,PlayStation 5 Console
29,24,Xbox Series X - High quality electronics,Gaming,499.99,Xbox Series X
30,24,Nintendo Switch OLED - High quality electronics,Gaming,349.99,Nintendo Switch OLED
31,20,Logitech MX Master 3S Mouse - High quality electronics,Accessories,99.99,Logitech MX Master 3S Mouse
32,24,Mechanical Gaming Keyboard RGB - High quality electronics,Accessories,149.99,Mechanical Gaming Keyboard RGB
33,16,Webcam 4K HD - High quality electronics,Accessories,129.99,Webcam 4K HD
34,20,USB-C Hub 7-in-1 - High quality electronics,Accessories,49.99,USB-C Hub 7-in-1
35,1,Portable SSD 1TB - High quality electronics,Storage,119.99,Portable SSD 1TB
36,16,External Hard Drive 4TB - High quality electronics,Storage,89.99,External Hard Drive 4TB
37,16,Wireless Charger 3-in-1 - High quality electronics,Accessories,79.99,Wireless Charger 3-in-1
38,15,Power Bank 20000mAh - High quality electronics,Accessories,39.99,Power Bank 20000mAh
39,9,Smart WiFi Router - High quality electronics,Networking,199.99,Smart WiFi Router
40,16,Mesh WiFi System 3-Pack - High quality electronics,Networking,299.99,Mesh WiFi System 3-Pack
41,10,Levi's 501 Jeans - Quality fashion item,Mens Clothing,69.99,Levi's 501 Jeans
42,37,Nike Air Force 1 Sneakers - Quality fashion item,Mens Shoes,110.0,Nike Air Force 1 Sneakers
43,37,Adidas Ultraboost Shoes - Quality fashion item,Womens Shoes,180.0,Adidas Ultraboost Shoes
44,14,Vintage Denim Jacket - Quality fashion item,Mens Clothing,45.99,Vintage Denim Jacket
45,10,Gucci Belt Black Leather - Quality fashion item,Accessories,450.0,Gucci Belt Black Leather
